,,,,Puntualidad,,,$200.00,,
,,,,"Calidad del
trabajo",,,,,
,,,,"Confianza /
Reputación
Calidad del
trabajo
Garantía del
servicio
Precio
Disponibilidad
rápida","Pido
recomendaciones
a amigos/familia",Tener garantía,$200.00,,
,,,,"Calidad del
trabajo","Pido
recomendaciones
a amigos/familia","Mayor
confiabilidad","$1,500.00",,
,,,,"Confianza /
Reputación",,,,,
,,,,"Disponibilidad
rápida",,,,,
,,,,Precio,,,,,
,,,,Precio,,,$500.00,,
,,,,"Calidad del
trabajo",,,,,
,,,,Puntualidad,,,,,
,,,,"Precio
Calidad del
trabajo
Confianza /
Reputación","Pido
recomendaciones
a amigos/familia
Llamo a técnicos
conocidos","Mayor
confiabilidad",$500.00,,
,,,,Precio,,,,,
,,,,"Calidad del
trabajo",,,,,
,,,,"Confianza /
Reputación",,,,,
