,,,,"Calidad del
trabajo",,,$125.00,,
,,,,"Confianza /
Reputación",,,,,
,,,,"Garantía del
servicio",,,,,
,,,,"Calidad del
trabajo",,,$250.00,,
,,,,Puntualidad,,,,,
,,,,Precio,,,,,
,,,,"Confianza /
Reputación",,,$50.00,,
,,,,"Confianza /
Reputación",,,$250.00,,
,,,,"Calidad del
trabajo",,,,,
,,,,Precio,,,,,
,,,,"Precio
Puntualidad
Calidad del
trabajo
Confianza /
Reputación
Disponibilidad
rápida
Garantía del
servicio","Pido
recomendaciones
a amigos/familia
Llamo a técnicos
conocidos","Mayor
confiabilidad","$1,000.00",,
,,,,Precio,,,,,
,,,,Puntualidad,,,,,
,,,,"Calidad del
trabajo",,,,,
,,,,"Confianza /
Reputación",,,,,
,,,,"Disponibilidad
rápida",,,,,
,,,,"Garantía del
servicio",,,,,
