,,,,"Confianza /
Reputación",$100.00,,
,,,,"Calidad del
trabajo",,,
,,,,"Disponibilidad
rápida",,,
,,,,"Garantía del
servicio",,,
,,,,Precio,,,
,,,,"Calidad del
trabajo",$0.00,,
,,,,"Disponibilidad
rápida",,,
,,,,"Garantía del
servicio",,,
,,,,"Confianza /
Reputación",$200.00,,
,,,,"Garantía del
servicio",,,
,,,,"Calidad del
trabajo",,,
,,,,Precio,"$1,000.09",,
,,,,"Calidad del
trabajo",,,
,,,,"Confianza /
Reputación",,,
,,,,"Disponibilidad
rápida",,,
,,,,"Garantía del
servicio",,,
,,,,Puntualidad,,,
