15,Pagos engorrosos,2,4,4,6,
10,Tetris de agendas (cliente-técnico-parts),3,5,4,6,
3,Info fragmentada,2,4,4,6,
6,Costos de oportunidad invisibles,3,4,4,5,
7,Asimetría de información,3,4,4,5,
16,Costos variables impredecibles,3,4,4,5,
18,ROI no cuantificado,2,4,3,5,
42,Parálisis por exceso de opciones,2,3,4,5,
25,Prestadores informales / confianza,3,4,3,4,
14,Falta de confianza al dejar entrar extraños,3,4,3,4,
31,Garantías perdidas,2,3,3,4,
39,Alert-fatigue,2,3,3,4,
41,Sin benchmark de duración piezas,2,3,3,4,
1,Visibilidad nula de vida útil,4,4,4,4,
"(El resto cae por debajo de 4 en PRI; se omiten aquí para mantener la tabla manejable, pero pueden
consultarse en la hoja completa).
Paso 3 · Cómo decidir
1. Identify quick wins → PRI ≥ 6.
“Overload mental” y “Pagos engorrosos” son low-hanging fruit: gran dolor, solución digital pura, sin
hardware.
2. Bundle related pains.
◦ Overload mental + Info fragmentada + Parálisis por exceso de opciones → “Cerebro organizado”.
◦ Pagos engorrosos + Costos variables impredecibles → “Checkout sin fricción”.
3. Stress-test with personas.
Pregunta: ¿cuál de estos bundles moviliza primero al Dueño de hogar y al Técnico independiente?",,,,,,
