,,,,"Calidad del
trabajo",,,$600.00,,
,,,,"Confianza /
Reputación",,,,,
,,,,Puntualidad,,,$150.00,,
,,,,"Calidad del
trabajo",,,,,
,,,,"Confianza /
Reputación",,,,,
,,,,"Garantía del
servicio",,,,,
,,,,"Disponibilidad
rápida",,,,,
,,,,"Garantía del
servicio","Pido
recomendaciones
a amigos/familia","Mayor
confiabilidad",$0.00,,
,,,,"Calidad del
trabajo
Precio
Puntualidad
Confianza /
Reputación
Disponibilidad
rápida
Garantía del
servicio","Pido
recomendaciones
a amigos/familia
Llamo a técnicos
conocidos
Pregunto en
grupos de
WhatsApp/Faceb
ook","Mayor
confiabilidad",$40.00,,
,,,,Puntualidad,"Pregunto en
grupos de
WhatsApp/Faceb
ook",Ahorrar tiempo,$0.00,,
,,,,"Calidad del
trabajo",,,,,
,,,,"Confianza /
Reputación",,,,,
,,,,,"Llamo a técnicos
conocidos",,,,
,,,,"Garantía del
servicio",,,,,
,,,,"Disponibilidad
rápida",,,,,
