,"Buscar proveedores y negociar
condiciones",,,,
"Operaciones &
Logística","Definir procesos con técnicos o
aliados",,,,
"Operaciones &
Logística",Coordinar piloto o pruebas iniciales,,,,
Comunicación & Marca,Diseñar la marca y su personalidad,,,,
Comunicación & Marca,Definir tono de voz,,,,
Comunicación & Marca,"Crear contenido inicial (pitch, redes,
presentaciones)",,,,
Comunicación & Marca,Diseñar experiencia de cliente,,,,
Recursos Humanos,"Definir roles futuros y cultura
organizacional",,,,
Recursos Humanos,"Reclutar y coordinar talentos
puntuales (diseñador, devs, etc.)",,,,
,Manejar documentación interna,,,,
,"Crear presupuestos y controlar
gastos",,,,
,"Manejar temas legales (registro,
contratos, términos de uso)",,,,
,"Buscar financiamiento inicial (si
aplica)",,,,
Finanzas & Legal,Modelar costos e ingresos,,,,
Finanzas & Legal,"Hacer seguimiento de métricas
financieras clave",,,,
