,,,,"Calidad del
trabajo",$200.00,,
,,,,"Confianza /
Reputación",,,
,,,,"Garantía del
servicio",,,
,,,,Precio,,,
,,,,Puntualidad,,,
,,,,Precio,$500.00,,
,,,,Puntualidad,,,
,,,,"Disponibilidad
rápida",,,
,,,,"Calidad del
trabajo","$1,000.00",,
,,,,"Confianza /
Reputación",,,
,,,,Puntualidad,,,
,,,,Precio,,,
,,,,"Confianza /
Reputación",,,
,,,,"Calidad del
trabajo",,,
,,,,Puntualidad,,,
,,,,"Disponibilidad
rápida",,,
,,,,"Garantía del
servicio",,,
