T-034,"Decisión sobre
fideicomiso de
administración",Legal y Tributario,,,
T-035,"Diseño de programa de
recompra y reventa","Extensiones (Año
2-3)",Etapa 2,,
T-036,"Escalamiento de datos
(almacenamiento
ligero)",Datos y Sistemas,Etapa 2,,
T-037,"Auditorías aleatorias de
calidad",Riesgo y Calidad,Etapa 2,,
T-038,"Plan de cobertura
nacional",Go-to-Market,Etapa 2,,
T-039,"Hito: 5,000 hogares /
20,000 activos",Go-to-Market,,,
T-040,"Piloto de trade-in y
reventa","Extensiones (Año
2-3)",Etapa 3,,
T-041,"Evaluación de punto de
venta liviano","Extensiones (Año
2-3)",Etapa 3,,
T-042,"Personalización de
recordatorios y precios",Datos y Sistemas,Etapa 3,,
T-043,"Expansión nacional
completa",Go-to-Market,,,
T-044,"Estudio de expansión
regional",Go-to-Market,,,
T-045,"Hito: 20k hogares / 80k
activos",Go-to-Market,,,
T-046,"Hito: Recomendación ≥
60","Marca y
Comunicaciones",Etapa 3,,
T-047,"Hito: Recuperación de
adquisición ≤ 3 meses","Finanzas y
Economía",Etapa 3,,
