Media,,,T-025,"Modelo financiero
comparativo +
decisión “go/no-go”",Riesgo / Confianza,Nacional
Media,,,,"Proceso, precios
guía y canales
definidos",Nuevos ingresos,Nacional
Media,,,T-011,"Exportaciones y
backups
automáticos",Confiabilidad,Nacional
Media,,,T-033,"5% de servicios
auditados
mensualmente",Mejora continua,Nacional
Alta,,,T-029,"Mapa de ciudades,
proveedores y metas
trimestrales",Escala,Nacional
Alta,,,"T-031 T-032
T-033 T-034
T-035 T-036
T-037 T-038","Métricas alcanzadas
y reportadas",Escala,Nacional
Media,,,T-035,"10 operaciones
cerradas con
satisfacción del
cliente",Nuevos ingresos,Nacional
Media,,,T-038,"Caso de negocio y
prueba en micro-
showroom",Ingresos / Marca,Nacional
Media,,,T-011,"Reglas por historial y
comportamiento en
producción",Retención / Margen,Nacional
Alta,,,T-038,"Operación estable
en ciudades objetivo",Escala,Nacional
Media,,,T-043,"2 países pre-
seleccionados con
criterios claros",Estrategia,Regional
Alta,,,T-043,"Métricas alcanzadas
y reportadas",Liderazgo,Nacional
Media,,,T-027,"Promedio trimestral
≥ 60 con plan de
mejora continuo",Satisfacción,Nacional
Media,,,T-024 T-025,"Métrica alcanzada y
monitoreada",Salud financiera,Nacional
