"• ¿Cuánto estarías dispuesto a pagar al mes por una plataforma que te conecte con técnicos
verificados, con precios claros y garantía de servicio? (RD$):
◦ Average: $449.59
◦ Median: $250.00
◦ Min: $0.00
◦ Max: $2,000.00
◦ Percent Blank or RD$0.00: 11%
Encuesta a Propietarios",,,,,,,,,
¿Con qué frecuencia,¿Cuánto tiempo prom,¿Qué tan frustrante re,¿Qué impacto ti,Marca los factores má,¿Qué haces actualme,Si pudieras “contratar,¿Cuánto estarías disp,Notes,
,,,,Puntualidad,"Pido
recomendaciones
a amigos/familia",Ahorrar tiempo,$100.00,,
,,,,"Calidad del
trabajo",,,,,
,,,,"Disponibilidad
rápida","Llamo a técnicos
conocidos",,,,
,,,,"Confianza /
Reputación",,,$300.00,,
,,,,"Calidad del
trabajo",,,,,
,,,,Puntualidad,,,,,
,,,,Precio,,,,,
,,,,Puntualidad,,,$0.00,,
,,,,"Calidad del
trabajo",,,,,
,,,,"Confianza /
Reputación",,,,,
