P22,Motivaciones,"Si pudieras elegir, ¿qué priorizarías más?","Opción única:
garantía, ahorrar
tiempo, ahorrar
dinero",11,
P23,Motivaciones,"¿Alguna vez pensaste que el mantenimiento
preventivo es innecesario o un gasto extra?",Sí/No,(pregunta extra),
"Carga mental y
hábitos",,,,,
P24,Carga mental,"¿Sientes que el día a día te deja poco tiempo o
energía para pensar en mantenimientos
preventivos?",Sí/No,12,
P25,Carga mental,"¿Te incomoda la acumulación de tareas “no
urgentes pero importantes” como los
mantenimientos?",Sí/No,14,
"Comportamiento
de búsqueda y
pagos",,,,,
P26,Búsqueda,"Cuando necesitas un técnico, ¿qué es lo primero
que haces?","Opción única:
preguntar a
familia/amigos,
buscar en Google,
grupos WhatsApp,
llamar conocido",9,
P27,Pagos,"¿Has tenido que pagar técnicos en efectivo o
transferencia en vez de tarjeta?",Sí/No,18,
P28,Pagos,"¿Te resultaría más cómodo pagar estos servicios
automáticamente con tu tarjeta de crédito?",Sí/No,"3, 18",
P29,Búsqueda,"Si existiera una app para esto, ¿la usarías
realmente o preferirías seguir como hasta ahora?",Opción única,(pregunta extra),
Cierre,,,,,
P30,Referencias,"¿Tienes un técnico fijo de confianza al que siempre
llamas?",Sí/No,(pregunta extra),
P31,Referencias,"¿Conoces a alguien más que pudiera ayudarnos
respondiendo esta misma encuesta?",Texto / Sí/No,—,
