"Co-Founder Responsibilities
Responsabilidades para Co-Founders de Maroa",,,,,,,
Departamento,,,Responsabilidad,Gabby ✅,Asirio ✅,Erick ✅,
"Estrategia & Dirección
General",,,"Definir visión, misión y valores",,,,
"Estrategia & Dirección
General",,,Tomar decisiones estratégicas clave,,,,
"Estrategia & Dirección
General",,,Priorizar features o servicios,,,,
"Estrategia & Dirección
General",,,"Supervisar avances y mantener
foco",,,,
Ventas & Alianzas,,,"Buscar y cerrar alianzas
estratégicas",,,,
Ventas & Alianzas,,,"Identificar oportunidades de
negocio o expansión",,,,
Ventas & Alianzas,,,Desarrollar estrategia de pricing,,,,
Ventas & Alianzas,,,"Generar oportunidades de ingresos
y cross-selling",,,,
Producto & Tecnología,,,"Idear funcionalidades de la app y
validar con usuarios",,,,
Producto & Tecnología,,,Coordinar equipo de desarrollo,,,,
Producto & Tecnología,,,Probar y validar entregables,,,,
Producto & Tecnología,,,"Buscar soluciones low-cost o no-
code para el MVP",,,,
"Operaciones &
Logística",,,"Mapear flujos operativos
(recepción, mantenimiento, entrega)",,,,
"Operaciones &
Logística",,,,,,,
