,,,,"Disponibilidad
rápida","$2,000.00",,
,,,,"Confianza /
Reputación",,,
,,,,"Garantía del
servicio",,,
,,,,"Calidad del
trabajo",,,
,,,,Puntualidad,,,
,,,,"Calidad del
trabajo",,,
,,,,Precio,,,
,,,,"Garantía del
servicio",,,
,,,,Precio,$600.00,,
,,,,Puntualidad,,,
,,,,"Calidad del
trabajo",,,
,,,,"Garantía del
servicio",,,
,,,,Precio,,,
,,,,Puntualidad,,,
,,,,"Calidad del
trabajo",,,
,,,,"Confianza /
Reputación",,,
,,,,"Garantía del
servicio",,,
,,,,"Disponibilidad
rápida",$0.00,,
,,,,Precio,,,
