,,,,Puntualidad,,,
,,,,"Calidad del
trabajo",,,
,,,,"Garantía del
servicio",,,
,,,,Precio,,,
,,,,"Disponibilidad
rápida",,,
,,,,"Garantía del
servicio",,,
,,,,Puntualidad,"$1,000.00",,
,,,,"Calidad del
trabajo",,,
,,,,"Calidad del
trabajo",$995.00,,
,,,,"Confianza /
Reputación",,,
,,,,Precio,$600.00,,
,,,,"Calidad del
trabajo",,,
,,,,"Disponibilidad
rápida",,,
,,,,"Garantía del
servicio",,,
