,,,,"Garantía del
servicio","$2,000.00",,
,,,,"Calidad del
trabajo",,,
,,,,"Confianza /
Reputación",,,
,,,,"Calidad del
trabajo",$0.00,,
,,,,"Confianza /
Reputación",,,
,,,,"Disponibilidad
rápida",,,
,,,,"Garantía del
servicio",,,
,,,,Puntualidad,,,
,,,,Precio,,,
,,,,Puntualidad,$620.00,,
,,,,"Calidad del
trabajo",,,
,,,,"Confianza /
Reputación",,,
,,,,Precio,$500.00,,
,,,,Puntualidad,,,
,,,,"Confianza /
Reputación",,,
,,,,"Calidad del
trabajo",,,
,,,,"Disponibilidad
rápida",,,
,,,,"Garantía del
servicio",,,
